Frame: 151, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 152, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 153, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 154, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 155, Time: 00:00:22, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 156, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 157, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 158, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 159, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 160, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 161, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 162, Time: 00:00:23, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 163, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 17, 'Undefined': 0}
Frame: 164, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 165, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 166, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 167, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 168, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 169, Time: 00:00:24, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 170, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 171, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 172, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 173, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 174, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 175, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 176, Time: 00:00:25, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 177, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 178, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 179, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 18, 'Undefined': 0}
Frame: 180, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
Frame: 181, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
